DepotIndex; DepotCapacity; DepotRemaCapacity; CustomerIndex; CustomerInternalId; CustomerDemand
 11; 10000 ; 3264; 119; 120 ; 29
 11; 10000 ; 3264; 120; 121 ; 81
 0; 1000 ; 109; 121; 122 ; 4
 0; 1000 ; 109; 122; 123 ; 23
 6; 800 ; 207; 123; 124 ; 11
 11; 10000 ; 3264; 124; 125 ; 86
 11; 10000 ; 3264; 125; 126 ; 2
 11; 10000 ; 3264; 126; 127 ; 31
 11; 10000 ; 3264; 127; 128 ; 54
 6; 800 ; 207; 128; 129 ; 87
 6; 800 ; 207; 129; 130 ; 17
 11; 10000 ; 3264; 130; 131 ; 81
 11; 10000 ; 3264; 131; 132 ; 72
 12; 220 ; 63; 132; 133 ; 10
 11; 10000 ; 3264; 133; 134 ; 50
 0; 1000 ; 109; 134; 135 ; 25
 11; 10000 ; 3264; 135; 136 ; 71
 6; 800 ; 207; 136; 137 ; 85
 3; 3000 ; 25; 137; 138 ; 51
 3; 3000 ; 25; 138; 139 ; 29
 3; 3000 ; 25; 139; 140 ; 55
 11; 10000 ; 3264; 140; 141 ; 45
 3; 3000 ; 25; 141; 142 ; 100
 11; 10000 ; 3264; 142; 143 ; 38
 3; 3000 ; 25; 143; 144 ; 11
 3; 3000 ; 25; 144; 145 ; 82
 0; 1000 ; 109; 145; 146 ; 50
 11; 10000 ; 3264; 146; 147 ; 39
 2; 200 ; 41; 147; 148 ; 6
 3; 3000 ; 25; 148; 149 ; 87
 11; 10000 ; 3264; 149; 150 ; 83
 3; 3000 ; 25; 150; 151 ; 22
 3; 3000 ; 25; 151; 152 ; 24
 11; 10000 ; 3264; 152; 153 ; 69
 3; 3000 ; 25; 153; 154 ; 97
 3; 3000 ; 25; 154; 155 ; 65
 3; 3000 ; 25; 155; 156 ; 97
 0; 1000 ; 109; 156; 157 ; 79
 11; 10000 ; 3264; 157; 158 ; 79
 11; 10000 ; 3264; 158; 159 ; 46
 3; 3000 ; 25; 159; 160 ; 52
 11; 10000 ; 3264; 160; 161 ; 39
 11; 10000 ; 3264; 161; 162 ; 94
 0; 1000 ; 109; 162; 163 ; 97
 3; 3000 ; 25; 163; 164 ; 18
 11; 10000 ; 3264; 164; 165 ; 3
 11; 10000 ; 3264; 165; 166 ; 23
 11; 10000 ; 3264; 166; 167 ; 19
 11; 10000 ; 3264; 167; 168 ; 40
 11; 10000 ; 3264; 168; 169 ; 49
 11; 10000 ; 3264; 169; 170 ; 96
 11; 10000 ; 3264; 170; 171 ; 58
 3; 3000 ; 25; 171; 172 ; 15
 11; 10000 ; 3264; 172; 173 ; 21
 11; 10000 ; 3264; 173; 174 ; 56
 9; 80 ; 0; 174; 175 ; 67
 11; 10000 ; 3264; 175; 176 ; 10
 0; 1000 ; 109; 176; 177 ; 36
 11; 10000 ; 3264; 177; 178 ; 84
 11; 10000 ; 3264; 178; 179 ; 59
 3; 3000 ; 25; 179; 180 ; 85
 11; 10000 ; 3264; 180; 181 ; 60
 3; 3000 ; 25; 181; 182 ; 33
 11; 10000 ; 3264; 182; 183 ; 62
 3; 3000 ; 25; 183; 184 ; 70
 3; 3000 ; 25; 184; 185 ; 79
 3; 3000 ; 25; 185; 186 ; 98
 11; 10000 ; 3264; 186; 187 ; 99
 7; 80 ; 58; 187; 188 ; 18
 11; 10000 ; 3264; 188; 189 ; 55
 11; 10000 ; 3264; 189; 190 ; 75
 12; 220 ; 63; 190; 191 ; 94
 3; 3000 ; 25; 191; 192 ; 89
 2; 200 ; 41; 192; 193 ; 13
 11; 10000 ; 3264; 193; 194 ; 19
 11; 10000 ; 3264; 194; 195 ; 19
 4; 100 ; 9; 195; 196 ; 90
 11; 10000 ; 3264; 196; 197 ; 35
 11; 10000 ; 3264; 197; 198 ; 76
 1; 100 ; 1; 198; 199 ; 3
 3; 3000 ; 25; 199; 200 ; 11
 11; 10000 ; 3264; 200; 201 ; 98
 3; 3000 ; 25; 201; 202 ; 92
 11; 10000 ; 3264; 202; 203 ; 1
 11; 10000 ; 3264; 203; 204 ; 2
 3; 3000 ; 25; 204; 205 ; 63
 11; 10000 ; 3264; 205; 206 ; 57
 11; 10000 ; 3264; 206; 207 ; 50
 1; 100 ; 1; 207; 208 ; 19
 3; 3000 ; 25; 208; 209 ; 24
 11; 10000 ; 3264; 209; 210 ; 14
 6; 800 ; 207; 210; 211 ; 18
 11; 10000 ; 3264; 211; 212 ; 77
 11; 10000 ; 3264; 212; 213 ; 28
 11; 10000 ; 3264; 213; 214 ; 72
 11; 10000 ; 3264; 214; 215 ; 49
 3; 3000 ; 25; 215; 216 ; 58
 11; 10000 ; 3264; 216; 217 ; 84
 3; 3000 ; 25; 217; 218 ; 58
 11; 10000 ; 3264; 218; 219 ; 41
 11; 10000 ; 3264; 219; 220 ; 98
 6; 800 ; 207; 220; 221 ; 77
 11; 10000 ; 3264; 221; 222 ; 57
 0; 1000 ; 109; 222; 223 ; 39
 0; 1000 ; 109; 223; 224 ; 99
 0; 1000 ; 109; 224; 225 ; 83
 11; 10000 ; 3264; 225; 226 ; 54
 11; 10000 ; 3264; 226; 227 ; 86
 6; 800 ; 207; 227; 228 ; 2
 3; 3000 ; 25; 228; 229 ; 14
 11; 10000 ; 3264; 229; 230 ; 42
 3; 3000 ; 25; 230; 231 ; 14
 3; 3000 ; 25; 231; 232 ; 55
 11; 10000 ; 3264; 232; 233 ; 2
 3; 3000 ; 25; 233; 234 ; 18
 0; 1000 ; 109; 234; 235 ; 17
 8; 80 ; 8; 235; 236 ; 22
 0; 1000 ; 109; 236; 237 ; 28
 11; 10000 ; 3264; 237; 238 ; 3
 10; 200 ; 6; 238; 239 ; 96
 11; 10000 ; 3264; 239; 240 ; 53
 11; 10000 ; 3264; 240; 241 ; 15
 11; 10000 ; 3264; 241; 242 ; 36
 11; 10000 ; 3264; 242; 243 ; 98
 3; 3000 ; 25; 243; 244 ; 78
 11; 10000 ; 3264; 244; 245 ; 92
 1; 100 ; 1; 245; 246 ; 65
 3; 3000 ; 25; 246; 247 ; 64
 11; 10000 ; 3264; 247; 248 ; 43
 0; 1000 ; 109; 248; 249 ; 50
END OF FLS_ARRAY
